"unit","size","v_p2003","v_m2003","v_g2002","v_p2002","v_m2002","v_s2001","v_g2000","v_p2000","v_m2000","v_s1999","v_m1999","v_g1998","v_m1998","v_s1998","v_m1997","v_s1997","v_g1996","v_p1996","v_m1996","v_s1996","z","vote03","contact"
"1",655,0.140458015267176,0.482442748091603,0.748091603053435,0.212213740458015,0.204580152671756,0.299236641221374,0.908396946564885,0.187786259541985,0.183206106870229,0.53587786259542,0.377099236641221,0.523664122137405,0.229007633587786,0.323664122137405,0.163358778625954,0.158778625954198,0.680916030534351,0.158778625954198,0.163358778625954,0.0549618320610687,0,0.383206106870229,0
"2",386,0.10880829015544,0.27720207253886,0.55699481865285,0.178756476683938,0.101036269430052,0.212435233160622,0.867875647668394,0.155440414507772,0.0880829015544041,0.357512953367876,0.264248704663212,0.380829015544041,0.121761658031088,0.196891191709845,0.0984455958549223,0.124352331606218,0.518134715025907,0.11139896373057,0.106217616580311,0.0569948186528497,0,0.186528497409326,0
"3",245,0.0979591836734694,0.424489795918367,0.697959183673469,0.171428571428571,0.13469387755102,0.253061224489796,0.930612244897959,0.191836734693878,0.106122448979592,0.440816326530612,0.310204081632653,0.453061224489796,0.183673469387755,0.253061224489796,0.151020408163265,0.175510204081633,0.648979591836735,0.16734693877551,0.16734693877551,0.0408163265306122,0,0.330612244897959,0
"4",364,0.14010989010989,0.425824175824176,0.653846153846154,0.197802197802198,0.162087912087912,0.247252747252747,0.901098901098901,0.236263736263736,0.17032967032967,0.527472527472527,0.313186813186813,0.464285714285714,0.241758241758242,0.255494505494505,0.17032967032967,0.145604395604396,0.656593406593407,0.186813186813187,0.18956043956044,0.0769230769230769,0,0.337912087912088,0
"5",272,0.143382352941176,0.430147058823529,0.694852941176471,0.150735294117647,0.176470588235294,0.25,0.886029411764706,0.1875,0.172794117647059,0.430147058823529,0.294117647058824,0.415441176470588,0.1875,0.268382352941176,0.147058823529412,0.154411764705882,0.606617647058823,0.143382352941176,0.150735294117647,0.0735294117647059,0,0.338235294117647,0
"6",124,0.209677419354839,0.32258064516129,0.653225806451613,0.282258064516129,0.241935483870968,0.379032258064516,0.814516129032258,0.266129032258065,0.193548387096774,0.419354838709677,0.379032258064516,0.459677419354839,0.185483870967742,0.241935483870968,0.161290322580645,0.217741935483871,0.524193548387097,0.209677419354839,0.17741935483871,0.0725806451612903,0,0.298387096774194,0
"7",288,0.0486111111111111,0.305555555555556,0.597222222222222,0.166666666666667,0.09375,0.208333333333333,0.895833333333333,0.170138888888889,0.0798611111111111,0.434027777777778,0.270833333333333,0.440972222222222,0.177083333333333,0.211805555555556,0.0798611111111111,0.128472222222222,0.659722222222222,0.114583333333333,0.0972222222222222,0.0208333333333333,0,0.277777777777778,0
"8",386,0.132124352331606,0.437823834196891,0.709844559585492,0.202072538860104,0.178756476683938,0.282383419689119,0.89119170984456,0.163212435233161,0.145077720207254,0.432642487046632,0.360103626943005,0.49740932642487,0.230569948186528,0.238341968911917,0.16839378238342,0.152849740932642,0.663212435233161,0.178756476683938,0.16580310880829,0.0310880829015544,0,0.303108808290155,0
"9",417,0.107913669064748,0.414868105515588,0.695443645083933,0.237410071942446,0.139088729016787,0.24220623501199,0.88968824940048,0.177458033573141,0.175059952038369,0.465227817745803,0.321342925659472,0.467625899280576,0.239808153477218,0.290167865707434,0.124700239808153,0.148681055155875,0.594724220623501,0.170263788968825,0.13189448441247,0.0599520383693046,0,0.323741007194245,0
"10",336,0.160714285714286,0.410714285714286,0.648809523809524,0.333333333333333,0.205357142857143,0.386904761904762,0.741071428571429,0.232142857142857,0.163690476190476,0.37797619047619,0.300595238095238,0.375,0.139880952380952,0.261904761904762,0.136904761904762,0.178571428571429,0.401785714285714,0.178571428571429,0.12202380952381,0.0654761904761905,0,0.279761904761905,0
"11",309,0.0841423948220065,0.310679611650485,0.682847896440129,0.181229773462783,0.148867313915858,0.187702265372168,0.841423948220065,0.197411003236246,0.132686084142395,0.420711974110032,0.320388349514563,0.375404530744337,0.155339805825243,0.210355987055016,0.12621359223301,0.15210355987055,0.585760517799353,0.135922330097087,0.119741100323625,0.0647249190938511,0,0.258899676375405,0
"12",237,0.139240506329114,0.236286919831224,0.607594936708861,0.248945147679325,0.143459915611814,0.29957805907173,0.852320675105485,0.164556962025316,0.109704641350211,0.320675105485232,0.291139240506329,0.375527426160338,0.109704641350211,0.156118143459916,0.0886075949367089,0.122362869198312,0.616033755274262,0.156118143459916,0.113924050632911,0.0337552742616034,0,0.189873417721519,0
"13",487,0.15605749486653,0.320328542094456,0.568788501026694,0.236139630390144,0.121149897330595,0.264887063655031,0.891170431211499,0.240246406570842,0.149897330595483,0.42299794661191,0.328542094455852,0.437371663244353,0.139630390143737,0.232032854209446,0.151950718685832,0.166324435318275,0.589322381930185,0.174537987679671,0.145790554414784,0.0677618069815195,0,0.186858316221766,0
"14",273,0.15018315018315,0.362637362637363,0.611721611721612,0.223443223443223,0.128205128205128,0.252747252747253,0.842490842490842,0.234432234432234,0.146520146520147,0.428571428571429,0.315018315018315,0.454212454212454,0.197802197802198,0.234432234432234,0.106227106227106,0.142857142857143,0.586080586080586,0.15018315018315,0.153846153846154,0.0549450549450549,0,0.344322344322344,0
"15",268,0.208955223880597,0.582089552238806,0.738805970149254,0.32089552238806,0.257462686567164,0.361940298507463,0.902985074626866,0.317164179104478,0.194029850746269,0.630597014925373,0.447761194029851,0.619402985074627,0.294776119402985,0.391791044776119,0.212686567164179,0.208955223880597,0.67910447761194,0.246268656716418,0.257462686567164,0.100746268656716,1,0.488805970149254,0.783582089552239
"16",434,0.170506912442396,0.444700460829493,0.663594470046083,0.255760368663594,0.216589861751152,0.258064516129032,0.91705069124424,0.251152073732719,0.184331797235023,0.488479262672811,0.36405529953917,0.54147465437788,0.258064516129032,0.235023041474654,0.154377880184332,0.184331797235023,0.700460829493088,0.182027649769585,0.135944700460829,0.0737327188940092,1,0.382488479262673,0.695852534562212
"17",211,0.104265402843602,0.33175355450237,0.748815165876777,0.246445497630332,0.0710900473933649,0.317535545023697,0.601895734597156,0.123222748815166,0.033175355450237,0.241706161137441,0.194312796208531,0.260663507109005,0.0473933649289099,0.180094786729858,0.0616113744075829,0.0900473933649289,0.265402843601896,0.0568720379146919,0.023696682464455,0.014218009478673,1,0.23696682464455,0.161137440758294
"18",568,0.10387323943662,0.311619718309859,0.609154929577465,0.144366197183099,0.110915492957746,0.186619718309859,0.875,0.160211267605634,0.0862676056338028,0.357394366197183,0.230633802816901,0.401408450704225,0.119718309859155,0.184859154929577,0.0915492957746479,0.0933098591549296,0.610915492957746,0.112676056338028,0.0950704225352113,0.0140845070422535,1,0.325704225352113,0.702464788732394
"19",211,0.14218009478673,0.279620853080569,0.540284360189573,0.241706161137441,0.18957345971564,0.327014218009479,0.805687203791469,0.213270142180095,0.156398104265403,0.445497630331754,0.393364928909953,0.431279620853081,0.170616113744076,0.270142180094787,0.137440758293839,0.180094786729858,0.5260663507109,0.184834123222749,0.118483412322275,0.0568720379146919,1,0.28436018957346,0.654028436018957
"20",496,0.106854838709677,0.352822580645161,0.639112903225806,0.181451612903226,0.139112903225806,0.179435483870968,0.923387096774194,0.199596774193548,0.131048387096774,0.451612903225806,0.340725806451613,0.506048387096774,0.203629032258065,0.247983870967742,0.13508064516129,0.179435483870968,0.667338709677419,0.159274193548387,0.169354838709677,0.0383064516129032,1,0.332661290322581,0.701612903225806
"21",80,0.1,0.2625,0.55,0.225,0.125,0.325,0.8125,0.125,0.1,0.375,0.2625,0.3875,0.1125,0.2,0.0625,0.0875,0.4375,0.125,0.0375,0.075,1,0.2625,0.1625
"22",300,0.08,0.316666666666667,0.68,0.213333333333333,0.106666666666667,0.173333333333333,0.87,0.156666666666667,0.13,0.383333333333333,0.29,0.376666666666667,0.14,0.196666666666667,0.0966666666666667,0.123333333333333,0.626666666666667,0.11,0.13,0.0166666666666667,1,0.35,0.59
"23",416,0.134615384615385,0.394230769230769,0.634615384615385,0.194711538461538,0.144230769230769,0.254807692307692,0.872596153846154,0.204326923076923,0.161057692307692,0.471153846153846,0.298076923076923,0.439903846153846,0.264423076923077,0.211538461538462,0.129807692307692,0.161057692307692,0.637019230769231,0.161057692307692,0.168269230769231,0.0745192307692308,1,0.372596153846154,0.567307692307692
"24",344,0.0901162790697674,0.281976744186047,0.633720930232558,0.151162790697674,0.107558139534884,0.127906976744186,0.88953488372093,0.168604651162791,0.101744186046512,0.357558139534884,0.261627906976744,0.38953488372093,0.156976744186047,0.177325581395349,0.142441860465116,0.177325581395349,0.593023255813954,0.122093023255814,0.165697674418605,0.0465116279069767,1,0.313953488372093,0.633720930232558
"25",31,0.0967741935483871,0.290322580645161,0.548387096774194,0.258064516129032,0.0967741935483871,0.290322580645161,0.870967741935484,0.354838709677419,0.193548387096774,0.451612903225806,0.32258064516129,0.516129032258065,0.129032258064516,0.32258064516129,0.161290322580645,0.193548387096774,0.548387096774194,0.225806451612903,0.193548387096774,0.0645161290322581,1,0.258064516129032,0.225806451612903
"26",491,0.116089613034623,0.289205702647658,0.566191446028513,0.254582484725051,0.160896130346232,0.323828920570265,0.879837067209776,0.244399185336049,0.156822810590631,0.427698574338086,0.405295315682281,0.482688391038697,0.154786150712831,0.295315682281059,0.14867617107943,0.193482688391039,0.586558044806517,0.175152749490835,0.140529531568228,0.0916496945010183,1,0.276985743380855,0.670061099796334
"27",611,0.0851063829787234,0.374795417348609,0.664484451718494,0.153846153846154,0.135842880523732,0.242225859247136,0.919803600654664,0.180032733224223,0.147299509001637,0.46481178396072,0.333878887070376,0.492635024549918,0.211129296235679,0.225859247135843,0.119476268412439,0.158756137479542,0.685761047463175,0.142389525368249,0.124386252045827,0.0474631751227496,1,0.369885433715221,0.667757774140753
"28",472,0.133474576271186,0.326271186440678,0.614406779661017,0.264830508474576,0.205508474576271,0.317796610169492,0.864406779661017,0.25635593220339,0.163135593220339,0.413135593220339,0.336864406779661,0.440677966101695,0.161016949152542,0.25635593220339,0.146186440677966,0.161016949152542,0.582627118644068,0.216101694915254,0.144067796610169,0.086864406779661,1,0.292372881355932,0.584745762711864
